Nie bój się!	Niy bōj sie!
— Diń, diń, don, bum!	„Bim, bam!”
Scrooge nie znał tego człowieka.	Scrooge rozejzdrzoł sie za duchym, ale niy znŏd go.
Mgła i mrok coraz bardziej się zwiększały.	Jeszcze wiyncyj mgły a jeszcze zimnij.
Cóż tam więcej?	Co z tego?
Usłuchał.	Posuchoł.
— Przyznaję, że wiele jest rzeczy, z których mogłem osiągnąć korzyści, a z których jednak nie korzystałem — odparł siostrzeniec. — Między innymi, święta Bożego Narodzenia!	– Je moc rzeczy, co mi mogły prziniyś co dobrego w życiu, a niy wyciōng żech ś nich profitu.
Matka i córki wciąż przy tym pracowały.	Matka i cera niy trŏpiyły sie tym.
— Jakże byłabym szczęśliwa, gdybym mogła myśleć inaczej! — szepnęła smutnie. — Bóg świadkiem, że byłabym bardzo szczęśliwa.	– Rada bych myślała inakszyj, jakbych mogła – ôdpedziała. – Niebiosa wiedzōm!
Chłopak krzyczał, obiecywał, że już nie będzie, a taki myślał, że tam coś w boru grało… Co?	Karlus krziczoł, ôbiecowoł, iże już niy bydzie, a taki myśloł, iże tam coś w borze grało… Co?
Na dalekim zachodzie niknące słońce pozostawiło pas płonącej czerwieni, spoglądającej na to rozpaczliwe pustkowie niby nabiegłe krwią oko rozjątrzonego tygrysa.	Na zachodzie słōńce ôstawiyło ściyżkã ôgnistyj czerwiyni, co jarziła sie na tã prōznotã choby jake lute ôko, co zmyrszczało brwie niżyj i niżyj aż straciyło sie we rubyj ćmie nojciymniyjszyj nocy.
O, Jakubie Marley!	O, Jakōbie Marleyu!
— Czy ty jesteś tym duchem, którego przyjście mi zapowiedziano? — spytał Scrooge.	– Tyś je tyn duch, co mioł dō mie przijść? – spytoł Scrooge.
Ależ co to obchodziło Scrooge'a?	Kaj Scrooge słyszoł te słowa?
A nawet i Scrooge nie był znów tak bardzo dotknięty tym wypadkiem, bo okazał się doskonałym biznesmenem w dniu pogrzebu i uczcił go korzystnym interesem.	Scrooge ani sie moc niy utrŏpiōł skuli tego, co sie trefiyło, bo bez to, iże bōł nojlepszym czowiekym biznysu, ôn dziyń pogrzebu fajrowoł przileżytościōm dobrego interesu.
Nieszczęsny człowiek w trwodze przyrzekł jej wszystko, a gdy dziecię przyszło na świat, czarownica zjawiła się natychmiast, dała dzieweczce imię Roszpunka i zabrała ją z sobą.	Chop we swojim przerażyniu zgodziōł sie na wszysko, a kedy kobiyta urodziyła, to niyzawodnie ukŏzała sie czarownica, dała dziecku miano Repōnczka i wziōnła je ze sobōm.
Widział go tylko raz jeden, i to przelotnie, tymczasem dziś, gdy się spotkali, siostrzeniec Scrooge'a przywitał go serdecznie, a zauważywszy, że Bob ma niezwykły wyraz twarzy, zapytał go, czy mu się nie przytrafiło co złego…	Bob pedzioł im ô wielkij uprzyjmości siostrzyńca ôd pana Scrooge’a, z kerym sie widzioł przōdzij ino rŏz, a kery jak dojzdrzoł, iże ôn je troszkã zestarany, pytoł, co sie stało, coby go pocieszyć. „Tōż”, pedzioł Bob, „pōniywŏż je to nojmiylszy czowiek, jakigo idzie trefić, to żech mu pedzioł. »Naprŏwdã szczyrze mi przikro, panie Cratchit«, pedzioł, »i żŏl mi waszyj dobryj ślubnyj«.
Na posępnej skale, do połowy zanurzonej w wodzie, w odległości mili od stałego lądu, stała samotna latarnia morska.	Na strasznyj rafie zatōniyntych bergōw, kole trzech mil ôd brzegu, stoła samotnŏ latarnia bez cołki rok chlastanŏ wielkimi welami.
Zauważył tylko, że było bardzo mglisto i nadzwyczaj zimno i że nie było słychać ludzi biegnących w różne strony, sprawiających zwykły gwar i hałas, co działoby się niezawodnie, gdyby noc pokonała dzień i zapanowała nad światem.	Durch była fest mgła i zima, a ludzi żŏdnych słychać niy było, tōż pewnikym musiała być noc, a niy postrzodek dnia.
Duch pozornie wcale się nie zmienił, lecz Scrooge'owi zdawało się, iż w jego ponurej, majestatycznej postaci spostrzega coś nowego, co go do głębi poruszało…	Scrooge tego niy czuł, ale widzioł, bo chociŏż duch siedzioł bez ruchu, jego wosy i ôblyczynie leko sie ruszały, choby skuli gorkigo luftu z jakigo pieca.
— Już go mam!	– Już wiym!
Po kilku latach takiego życia przybył pewnego razu do pustelni, w której żyła w smutku Roszpunka wraz ze swymi bliźniętami, chłopcem i dziewczynką, które powiła.	Tak wandrowoł w nyndzy bez pŏrã lŏt, aż w kōńcu dotar na puszczã, kaj Repōnczka z bliźniyntami, co je urodziyła, synkym i dziouszkōm, żyła w misterności.
Więc tam chłopak duszę swoją całą wysyłał ku nim przez oczy, bo mu się zdawało, że to niedostępna jakaś dla niego świętość, której niegodzien tknąć, że to jakieś jego najdroższe ukochanie.	Tōż tam karlus dusza swoja cołko wysyłoł ku nim bez ôczy, bo mu sie zdowało, iże to jakoś niydostympno dō niego świyntość, co ôn niy je godny tyknōńć, iże to jakeś jego nojdrogsze ukochanie.
Nic nie wiem.	Nic niy wiym.
— Prawdopodobnie łapa, gdyż obrasta ją ciało — brzmiała smutna odpowiedź Ducha. — Patrz!	– Tak mało ciała na tym, iże może to być i pazur – ôdpedzioł duch smutno. – Wejzdrzij sam.
Wróżka dotknęła ją tylko swą czarodziejską różdżką, a w jednej chwili ubranie Kopciuszka zamieniło się w suknię ze złota i srebra, całą lśniącą od klejnotów.	Jeji pŏtka tykła jã ino rōżdżkōm i w tyj samyj chwili jeji ôblyczynie umiyniyło sie we ôblycze ze złota i strzybra, cołke wysadzane klejnotami.
Rozbawieni mali podróżni zbliżali się, a Scrooge poznawał i nazywał każdego z nich po imieniu.	Szwarne wandrusy zbliżyły sie, a Scrooge znoł miana ôd kożdego ś nich.
Słysząc niemiły wyraz „szczodrobliwość”, Scrooge zmarszczył brwi, potrząsnął głową i zwrócił dokumenty jałmużnikowi.	Na niymiyłe słowo „szczodliwość” Scrooge zmyrszczōł brwie, pokryńciōł gowōm i ôddoł folmacht.
Na podłodze był urządzony jakby tron z indyków, gęsi, kaczek, dziczyzny, wielkich kawałów pieczeni, prosiąt, długich wianków kiełbas, plum-puddingów, beczułek z ostrygami, pieczonych kasztanów, różowych jabłek, soczystych pomarańczy, apetycznych gruszek, olbrzymich placków i naczyń z wrzącym ponczem — a wszystko to napełniało cały pokój przedziwnym zapachem.	Na dylinach były usute we formã jakigo trōnu jyndyki, gyńsi, dziczyna, drobiyż, galert, sroge kōncki miynsa, wuszty, krupniŏki, ôstrygi, gorke kasztany, jabka, apluziny, gruszki, miseczki ze pōnczym, co zaciymnioł izbã swojōm parōm.
Ten pośpiech niepokoił Scrooge'a.	Ale Scrooge’owi sie skuli tego zrobiyło gorzij.
Jak posłali go do roboty, żeby gnój rozrzucał, to mu nawet wiatr grał w widłach.	Jak go posłali do roboty, coby gnōj rozciepowoł, to mu nawet wiater groł we widłach.
— Więc jesteśmy ostatecznie zrujnowani?	– Sōm my zbankrucyni?
— Pragnąłbym — mruknął po chwili, otarłszy łzy rękawem szlafroka, wkładając rękę do kieszeni i oglądając się dokoła — pragnąłbym bardzo… ale teraz pewnie już za późno!	– Jŏ bych chcioł – Scrooge zabōnczoł, wraziōł rynkã do kabzy i ôbejzdrzoł naôbkoło po tym, jak wytar ôczy rynkŏwym – ale już za niyskoro.
— Do widzenia.	– To siednij sie.
— Ja ciebie „krzcę” w Imię Ojca i Syna, i Ducha Świętego i daję ci na przezwisko Jan, a teraz–że, duszo „krześcijańska”, idź, skądeś przyszła.	— Jo ciebie „krzca” w Imia Ôjca i Syna, i Ducha Świyntego i dowōm ci miano Jōn, a terozki, duszo krześcijańsko, idź, skōndeś prziszła.
Scrooge, wpadając w zamyślenie, miał zawsze zwyczaj wkładać ręce w kieszenie spodni.	Scrooge mioł zwyk wrażaniŏ rōnk do kabzōw, jak nad czym głymbij myśloł.
— Bóg z tobą, drogie dziecię!	– Radosnych Godōw, ujek!
„Gdyby ten człowiek ożył — myślał Scrooge — gdyby mógł rozpocząć nowe życie, co by powiedział o swojej przeszłości?	A wiedzioł Scrooge, iże ôn bōł umarty?
— Mów dalej, Fredziu — odezwała się siostrzenica Scrooge'a, klaszcząc w dłonie. — Wypowiedz się, skończ, coś zaczął.	– Fred! – pedzioł Scrooge.
Wtedy zatrzymał się.	I zaś zapłakoł.
Tak ci coś w boru „grlało”.	Tak coś w borze „grlało”.
Nawoływali się wzajem z dachów, od czasu do czasu rzucali jeden na drugiego kule śniegowe — poczciwszy to pocisk aniżeli niejedno słówko — i zanosili się serdecznym śmiechem zarówno przy trafieniu celu, jak w razie chybienia go.	Wołali jedyn drugigo, a rŏz za kedy fto ciep kulkōm – lepszy szpas aniżeli niyjedyn wic – i śmioł sie szczyrze, jak cylnōł, a niy mynij szczyrze, jak niy trefiōł.
Zdumiewający chłopak! — zachwycał się Scrooge. — Prawdziwa przyjemność rozmawiać z takim malcem… Tak, tak, mój koteczku, ten sam.	– Mōndry synek! – pedzioł Scrooge. – Szykowny synek!
Chcę mianowicie wiedzieć, czy to, co widzę, jest obrazem tego, co musi się spełnić, czy też tego, co może nastąpić?	To sōm wizyje rzeczy, co bydōm, abo rzeczy, co mogōm być?
Scrooge domyślił się tego po kłapnięciu, jakie wydały zęby, skoro bandaż zbliżył do siebie obie szczęki.	Scrooge wiedzioł ô tym skuli klangu, jaki zrobiyły ôd niego zymby, kej szczynki sie zawarły.
Minęło pięć, dziesięć minut, kwadrans — żadnego widma!	Piyńć minut, dziesiyńć, sztwierć godziny i nic niy prziszło.
„Boże, błogosław cię, dobry panie!	Dobryj nocy, panowie!
Mały Bob wszedł do pokoju.	Mōj mały, mały bajtel! – krziknōł Bob. – Mōj mały bajtel!
Tak mówiąc zapaliła gromnicę, a potem wziąwszy dziecko pokropiła je wodą, aż poczęło oczki mrużyć, i rzekła jeszcze:	Jak tak godała, to zapolyła grōmnica, a potym wziōnła dziycio i pokropiyła je wodōm, aż
Nie dręcz mnie dłużej!	Niy pokŏzuj mi już nic!
Pouprzątać!	Badej!
Wesołych świąt!… Do licha z wesołymi świętami!	Radosnych Godōw wszyjskim!
Zaprowadziła Kopciuszka do jej pokoju i powiedziała:	Powiedła jã do swojij izby i pedziała dō nij:
Scrooge tedy wrócił do łóżka i zaczął rozmyślać o tym wszystkim, co mu się przytrafiło, lecz pomimo wszelkich wysiłków nie mógł zrozumieć nic.	Scrooge zaś suchoł, a myśloł, co możno mu to co wytuplikuje.
Każda rzecz ruchoma została gdzieś usunięta, jakby miała zniknąć z życia publicznego raz na zawsze; podłogę skropiono i zamieciono, lampy opatrzono, nałożono świeżego paliwa do kominka; lokal sklepowy przedstawiał w końcu tak miłą, zaciszną, ciepłą, jasną i suchą salę balową, jak sobie tylko można marzyć w noc zimową.	Kożdŏ rzecz, co niōm szło ruszyć, to była zapakowanŏ i ôdniesiōnŏ, choby miała być wyciepniyntŏ z publicznego życiŏ na zawdy; dylōwki były pośmiatane i poôbciyrane, lampy przitniynte, wōngel wciepniynty do kōminka, a cołki werk bōł ciepły, czysty i jasny choby balowy zal, jak chcieliby my go widzieć we zimowõ noc.
Ściany jego zewnętrzne wilgoć przeżarła i mchy pokryły, okna były pobite, bramy i drzwi popróchniałe.	To było wielke stawiynie, ale roztōmajte fortuny go tykały, pōniywŏż sroge biōra niy fōngowały, ściany były wilgłe i ôbrośniynte mchym, ôkna potrzaskane, a wrota zarōściałe.
Pani Cratchit zagrzała przy kominku zawczasu przygotowaną polewę do pieczystego; pan Piotr przysmażał kartofle z niepodobnym do opisania zapałem; panna Belinda studziła kompot z jabłek; Marta ścierała proch z ogrzanych talerzy; Bob wziął na ręce Małego Tima i posadził go przy stole obok siebie w najwygodniejszym miejscu; dwoje małych Cratchitów przystawiało krzesła do stołu, przy czym żadne z nich nie zapomniało o sobie i zająwszy przeznaczone im miejsca, powsadzały w buzie łyżki, aby nie napierać się gęsi, zanim przyjdzie na nie kolej.	Cratchitowŏ grzoła zōuzã (co była fertich już wczaśnij we małym tygliku) aż bulgotała; Pyjter ze niynormalnōm siyłōm szkroboł kartŏfle, Belinda cukrowała jabkowõ zōuzã, Marta ôbciyrała talyrze, Bob wziōn małego Tima do eki przi stole, dwa małe Cratchity prziniosły stołki dlŏ wszyjskich, a niy zapōmniały ô sobie, i filowały ze łyżkami w gymbkach, coby niy robić larma, jak przidzie na nich dran dostać kōncek gyńsi.
— I cóż z tego, moja droga? — odparł Fred. — Bogactwo jest dla niego bez pożytku, bo nie używa go na nic dobrego.	– Co to je? – ôdpedzioł Fred.
— Na skrzydłach wiatru.	– Na krzidłach wiatru – ôdpedzioł duch.
— Więc to samego siebie widziałem?! — zawołał, padając na kolana.	– Nigdyś mie jeszcze niy widzioł?! – krziknōł duch.
Gromadka rozeszła się i zniknęła w tłumie, a Scrooge, który poznał wszystkich rozmawiających, zwrócił oczy na Ducha, jak gdyby oczekując od niego wyjaśnienia tego, co usłyszał.	Mŏra była zakōntyntnŏ widzieć Scrooge’a takigo radego i dziwała sie na niego z uśmiychym, jak prosiōł choby mały bajtel, coby ôstali aż goście pōdōm.
Miał on postawę majestatyczną, uroczystą, był przybrany w długi, do ziemi sięgający płaszcz z kapturem, a zbliżał się do Scrooge'a powoli, ociężale, jak tuman mgły.	Scrooge dziwoł sie na ducha, smutno pokryńciōł gowōm i zestarany wejzdrzoł na dźwiyrze.
Scrooge pokornie wyparł się wszelkiej intencji obrażenia Ducha i zapewnił, że nigdy w życiu świadomie się nie przyczynił do skazania go na taką nieprzyjemność.	Scrooge przeprosiōł, prawiōł, co niy chcioł zgorszyć ducha, i spytoł, co przikludziyło go do niego.
Widok tych biednych, a jednak tak szczęśliwych w tej chwili, zdawał się najwięcej zajmować Ducha, zatrzymał się bowiem wraz ze Scroogem przy drzwiach jednego z piekarzy i podnosząc pokrywy naczyń w chwili, gdy niosący je przechodzili mimo niego, okadzał ich posiłek dymem swej pochodni.	Mŏra wyglōndała zaciekawiōnŏ tymi ludźmi, bo stoła ze Scrooge’ym we dźwiyrzach i ôdkrywała jejich koszyki, i posuwała wieczerze kadzŏkym ze swojij fakle.
Wówczas w ciemnej głębi wydawało się, jakby od nich biła światłość srebrna; szczególniej wypukłe zgięcia oświecone były tak mocno, że Janek ledwie mógł patrzeć na nie.	Wtynczos we ćmawyj głymbi zdowało sie, choby ôd nij biyła strzybrno światłość; barzij kulate skrziwiynia były tak fest ôświycōne, iże Jōnek ledwo mōg na nie patrzeć.
— O czym, mój drogi?	– Wiedzioł co, serce?
Niech mi więc będzie wolno powtórzyć z naciskiem, że Marley był martwy jak ćwiek w drzwiach.	Tōż przizwōlcie mi jeszcze rŏz pedzieć, ze cołkim naciskym, iże Marley bōł umarty choby kamiyń.
Nazywali go ludzie „Janko Muzykant”!… Wiosną uciekał z domu kręcić fujarki wedle strugi.	Nazywali go ludzie „Jōnek muzykant”!… Na wiosna uciykoł z dōmu kryńcić flyjtki kole strumiynia.
Przy każdym odgadnięciu niewłaściwym siostrzeniec wybuchał szalonym śmiechem, a nawet zrywał się z kanapy i skakał po pokoju.	Przi kożdym nowym pytaniu tyn siostrzyniec wybuchoł rykym śmiychu i tak sie skryncoł, że stoł ze zŏfy i tōmpoł.
Niech go tam weźmie stójka, niech mu da rózgą, żeby na drugi raz nie kradł, i cała rzecz.	Niych go tam weźnie wachtyrz, niych mu do karwaczym, coby na drugi roz niy krod, i wszysko.
Nogi i stopy, pięknie ukształtowane, były podobnie jak ręce obnażone.	Nogi i stopy miała guze, a ôblyczōnŏ była w nojbielszõ tunikã z pasym, co blyskoł sie piyknie.
Ach!	Ô!
Dwoje najmłodszych dzieci wdrapało się na kolana ojca, przytuliło swoje twarzyczki do jego twarzy, jak gdyby chciały powiedzieć:	Potym dwa małe Cratchity wziōn na klin i kożde położyło po swojij strōnie małe licko na jego gymbie, choby gŏdały „Niy trŏp sie, tatulku.
Siostrzeniec opuścił wuja spokojnie, bez wymówek.	Siostrzyniec krōm tego wyszoł bez jednego złego słowa.
Jakiż ty masz powód być wesołym?	Skuli czego mŏsz być radosny?
Tymczasem Janek czołgał się cicho i ostrożnie, ale zaraz go strach ogarnął.	Wtynczos Jōnek czołgoł sie cicho i ôstrożnie, ale zaroz go strach chyciōł.
Nawet latarnik, przebiegający w ubraniu odświętnym ciemne ulice, aby ponurą mgłę ich rozjaśnić blaskami światła i który właśnie myślał o spędzeniu wieczoru u towarzysza pracy, roześmiał się głośno, gdy Duch przeleciał obok niego, chociaż poczciwina ani się domyślał, że spotkał istotę tak dziś ważną.	Nawet chop, co lampy zapŏloł i bōł ôblyczōny do przepyndzyniŏ wieczora kajsik, na głos sie lachoł, jak duch kole niego przełaziōł.
Ludzie tańcowali obertasa, czasem jaki parobek pokrzykiwał: „U–ha!” Słychać było tupanie butów, to znów głosy dziewczyn: „Czegóż?” Skrzypki śpiewały cicho: „Będziem jedli, będziem pili, będziewa się weselili”, a basetla grubym głosem wtórowała z powagą: „Jak Bóg dał!	Ludzie tańcowali ôbertasa, niyroz jaki pachołek pokrzikowoł: „U–ha!” Słychać było tōmpanie strzewikōw, to zaś głosy ôd dziouchōw: „Czegōż?” Skrzipka śpiywała cicho: „Bydymy jedli, bydymy piyli, bydymy sie weselyli”, a basetla rubym głosym dokłodała z powogōm: „Jak Bōg doł!
— A jakżeż zachowywał się Mały Tim? — zapytała pani Cratchit, nażartowawszy się do syta z łatwowierności Boba i pozwoliwszy mu serdecznie wyściskać córkę.	– A jak sie mały Tim zachowowoł? – spytała Cratchitowŏ, jak Bob ściskoł jeszcze swojã cerã.
Potem ucałowała je i oświadczyła, że wybacza im z całego serca i prosi tylko, aby od teraz zawsze ją kochały.	Popieluszka je podniosła, ucałowała i prawiyła, iże wybŏczŏ im z cołkigo serca i chce, żeby dycki jij przoły.
— Słusznie, tak trzeba!	— Dobre!
Scrooge, drżąc całym ciałem ze strachu, niemal pełznąc, przysunął się do grobowca i przeczytał na nim swoje własne nazwisko:	Scrooge zbliżōł sie, trzōns sie przi kożdym kroku i za palcym przeczytoł na zaniydbanym grobie swoje włŏsne miano.
— Upewniłabyś się jeszcze więcej, gdybyś go widziała i mówiła z nim tak, jak ja — podchwycił Bob. — Wcale bym się nie dziwił (uważajcie, co powiem!), gdyby Piotr przy jego poparciu otrzymał lepsze miejsce.	– Byłabyś tego zicher, roztōmiyło – wrōciōł Bob – jakbyś go ôbejzdrzała i ś nim pogŏdała.
Duch znów uniósł Scrooge'a ponad czarne, piętrzące się morze, aż w końcu, daleko już od brzegów, zatrzymali się na pokładzie jakiegoś okrętu.	Zaś duch pofurgoł nad czŏrnym i rozwelowanym morzym – dalij, dalij – aż, jak byli daleko ôd jakigo ino brzegu, stanyli na szifie.
Szczególnie wyróżniał się Topper, który umiał mruczeć basem jak niedźwiedź, a nigdy nie zaczerwienił się przy tym, ani nie zeszpecił sobie twarzy nabrzmieniem żył na czole.	Byli muzykalnōm familijōm i wiedzieli, co robiyli, a nojbarzij Topper, co poradziōł buchnōńć basym, chociŏż nigdy mu sie na gowie żyła niy pokŏzała ani na gymbie sie czerwōny przi tym niy robiōł.
Życzę wszystkim, całemu światu, wesołych świąt i pomyślnego Nowego Roku!	Radosnych Godōw i szczyńśliwego nowego roku!
Grał jednak na nich od rana do wieczora, choć tyle za to odbierał szturchańców, że w końcu wyglądał jak obite jabłko niedojrzałe.	Groł na nich ale ôd rana do wieczora, chocioż tyla za to ôdbiyroł sztuchniyńć, iże w kōńcu wyglōndoł jak ôbite jabko niydojzdrzałe.
Nie martw się!…”	Niy urzykej!”
Po chwili dopiero z ciemności wyszedł dźwięk cichutki i płaczliwy, jakby ktoś nieostrożnie strun dotknął — i nagle…	Dopiyro za chwila ze ćmy wyszoł cichuśki i płaczliwy klang, choby ftoś niyôstrożnie strun tyknōł — i naroz…
Należy jeszcze mieć na względzie, że Scrooge nie pomyślał o Marleyu ani przez chwilę od czasu, kiedy wspomniał o jego śmierci tegoż właśnie popołudnia.	Trza tyż wiedzieć, iże Scrooge ani rŏz niy pōmyśloł ô Marleyu, ôd kedy rozprawioł ô nim po połedniu.
Przy jednym z pulpitów samotny chłopiec czytał coś przy słabo tlejącym ogarku.	Na jednyj ś nich siedzioł samotny synek i czytoł przi słabym ôgniu, a Scrooge siŏd i zapłakoł nad swojim dŏwno zapōmnianym sobōm.
Stary przekupień poprawił płonący ogień kawałkiem żelaza, które niegdyś stanowiło część ozdobnej poręczy schodów, usunął kopeć z lampy — była bowiem wtedy noc — cybuchem swej fajki, którą następnie znów wsunął w usta.	Stary chop posznupoł we ôgniu starōm sztangōm z gylyndra, petrōnelã, co już swōndziyła (bo była noc) przitnōł mundsztikym ze fajfki i wraziōł go nazŏd do gymby.
Gdy teraz Scrooge ujrzał, jak ojciec tej rodziny przytulił serdecznie do siebie młodą żonę i wraz z nią oraz z córką najstarszą zasiadł przy kominku; gdy pomyślał sobie, że on również mógł być ojcem takich milutkich i pełnych nadziei istot i że w poczętej zimie jego życia mogła od czasu do czasu zakwitnąć radosna i jasna wiosna — twarz jego spochmurniała jeszcze bardziej, a w oczach ukazały się łzy.	Jeszcze barzij udziwiyło go, jak sie spōmiarkowoł, iże to je śmiych ôd jego siostrzyńca, i że stoł terŏz we jasnyj, suchyj, czystyj izbie, a mŏra stoła kole niego ze uśmiychym i dziwała sie na siostrzyńca przijaźnie!
Zawołali Stacha, co był stójką:	Zawołali Stacha, co bōł za wachtyrza:
Tak, tak.	Ha, ha!
— W tej porze roku — podjął znowu — cierpię najbardziej.	– We tyn czas we roku – pedziała mŏra – ciyrpiã nojbarzij.
Widmo wlokło za sobą długi łańcuch, który obejmował je w pasie i obwijał jeszcze kilkakrotnie; był on utworzony (Scrooge dobrze mu się przypatrzył) z kas metalowych, kluczy i zamków, ksiąg kupieckich, aktów i mocnych, stalowych sakiewek.	Był dugi i wyglōndoł choby ôgōn, a zrobiōny bōł (Scrooge ôbejzdrzoł go dobrze) ze kluczy, kodek, buchalteryjnych ksiōnżek i geldtasz zrobiōnych z ôcylu.
— Czego pan sobie życzy?	– Tōż w czym?
Ludzie, chodząc po ulicach, chuchali w dłonie, bili rękoma o piersi i silnie uderzali stopami o bruk dla rozgrzania się.	I słyszoł ludzi na ulicy sapać, trzaskać rynkami ô piersi i tōmpać nogami ô brukflŏster, coby sie ôgrzŏć.
Gdy się to stało, Scrooge przysiadł na łóżku i znalazł się oko w oko z nadziemskim gościem, który się właśnie zjawił i stanął tuż przy ramieniu Scrooge'a.	Kej bōł blisko, Scrooge klynknōł na kolano przed nim, bo we lufcie, co bez niego mŏra przełaziyła, zdały sie roztopiyrzać mrokew i tajymnica.
Mówią, że wspólnik jego umiera, więc siedzi tam teraz samotny.	Słyszołch, iże ôd niego partnyr je fest chory, bezma już umrzik.
— Podobno wczoraj w nocy.	– Dzisiej ô pōłnocy.
Scrooge wyraził serdeczne podziękowanie, lecz jednocześnie pomyślał, że spokojny, niczym niezamącony sen prowadziłby właściwiej do tego celu.	Scrooge podziynkowoł, ale pōmyśloł sie, co cołkŏ noc spaniŏ tyż by była do szczyńściŏ przidajnŏ.
Na kominie płonął tak silny ogień, jakiego ten komin, zawsze ostygły za czasów Scrooge'a i Marleya, od wielu, wielu lat nie znał.	Nad dźwiyrzami durch po latach wisiało „Scrooge i Marley”.
Na razie Scrooge nie mógł w żaden sposób wymiarkować, o którym z jego znajomych rozmawiano.	Scrooge zaś suchoł, a myśloł, co możno mu to co wytuplikuje.
W tydzień wyszła baba do roboty.	W tydziyń wyszła baba do roboty.
— Czy to ma być sposobność i nadzieja, o których wspominałeś, Jakubie? — zapytał drżącym głosem.	– To je to pocieszynie, ô kerym gŏdŏsz, Jakōbie? – zapytoł, a głos mu sie łōmoł.
Ona zaś zgubiła jeden ze swych szklanych pantofelków, który królewicz podniósł ostrożnie z ziemi.	Spŏd jij jedyn ze szklannych pantŏfelkōw, co go princ podniōs moc pozornie.
— Nie, nie! — zawołał Scrooge. — O, dobry Duchu, powiedz, że ono będzie żyło…	– Niy, niy – pedzioł Scrooge. – Ô, niy, dobry duchu!
— Mister Marley umarł już siedem lat temu — odparł Scrooge. — Właśnie dziś w nocy upłynie siedem lat, jak Marley umarł.	– Pōn Marley niy żyje ôd siedmiu lŏt – ôdpedzioł Scrooge. – Umar rōwno siedym lŏt tymu, we tã samã noc.
Dalej!	Pōdź, idymy!
— Wszystko już dobrze, skoro tu jesteś — rzekła pani Cratchit. — Usiądź przy kominku, drogie dziecię i ogrzej się.	– No, ważne ino je to, żeś już je – pedziała Cratchitowŏ. – Siednij sie przed ôgniym i sie zagrzej, szczyńść Boże!
— Cóż się z tobą dzieje? — zapytał Duch.	– Co ci je? – spytoł duch.
Gdy się tym zajęła, rzekły do niej:	Kej to robiyła, ône dō nij pedziały:
Do więzienia ją posłać czy jak?… Trzeba–ż przy tym mieć trochę miłosierdzia nad dziećmi.	Do heresztu jōm posłać abo jak?… Trza przi tym mieć trocha miyłosierdzio nad bajtlami.
— Zapewne!	– Już wiym!
Dziś, gdy wracaliśmy do domu, powiedział mi, iż jest pewny, że wszyscy ludzie w kościele zwrócili na niego uwagę dlatego, ponieważ jest kaleką, i że kalectwo jego powinno im w dniu Bożego Naradzenia przypomnieć Tego, który sprawił, iż chromi chodzili, a ślepi widzieli.	Jak my szli do dōm, to ôn mi pedzioł, że ôn mŏ nadziejã, iże ludzie go widzieli we kościele, bo jak ôn je kalika, to ôni sie spōmnōm we Gody, fto prziwrŏcoł takim ludziōm dobre nogi, a ślepym zdrok.
— Pytam, jaki dzień dziś mamy, mój chłopaczku — powtórzył Sorooge.	– Chcesz mieć wolne jutro cołki dziyń, ja? – pedzioł Scrooge.
Duch cieszył się bardzo zmianą jego usposobienia i spoglądał na niego tak życzliwie, że Scrooge prosił go pokornie, jak studencik, aby pozostali do końca zabawy.	Mŏra była zakōntyntnŏ widzieć Scrooge’a takigo radego i dziwała sie na niego z uśmiychym, jak prosiōł choby mały bajtel, coby ôstali aż goście pōdōm.
Wszystko to się działo!	Tak było!
Kazał Kopciuszkowi usiąść, a już po chwili ujrzał, podstawiając do jej małej stópki pantofelek, że wsuwa się bez trudu i pasuje jak ulał.	Kŏzoł Popieluszce siednōńć, a kej wraziōł pantŏfelek na jeji stopã, to stwiyrdziōł, iże wraziōł go moc snadnie, pasowoł na niã tak, choby bōł zrobiōny z wosku.
— Ale, drogi panie — odpowiedział jegomość, serdecznie ściskając dłoń Scrooge'a — nie wiem doprawdy, jak mam panu dziękować za tak hojną ofia…	– Mōj dobry panŏczku – pedzioł Scrooge i chyciōł go za ramiōna – Jak sie mŏcie?
Że go tam kiedy wilk nie zjadł, zmiłowanie Boże.	Iże go tam kedy wilk niy zjod, to Boży cud.
Na barkach jego siedział Mały Tim.	A, biydny mały Tim!
Jasny, pogodny, mroźny dzień, jeden z tych, które rzeźwią i rozweselają duszę, pobudzając krew do energiczniejszego krążenia.	Złote słōńce, modre niebo, słodki, świyży luft, ucieszne zwōny.
Diń, diń, don, bum!	Zyń, klang, bam, bim, bim, klang, bam!
Miała ona dwie, we wszystkim do niej podobne córki.	Ôna miała dwie cery swojij launy, co we wszyskim były na niã podane.
Kiedy się znaleźli o dwa kroki od siebie, duch Marleya podniósł rękę, nie pozwalając Scrooge'owi zbliżyć się więcej.	Kej byli dwa kroki ôd siebie, duch ôd Marleya podniōs rynkã, coby bliżyj niy podłazić.
Doskonale!	Wszyjskigo dobrego!
